symbol,alka.trans,alka.be,alka.rsf,aes.trans,aes.ke,aes.rsf
H,['1s'],[13.6],[0.0002],[],[],[]
He,['1s'],[24.6],[0.0082],[],[],[]
Li,['1s'],[54.7],[0.0568],['KLL'],[43],[0.977]
Be,['1s'],[111.5],[0.1947],['KLL'],[104],[0.456]
B,['1s'],[188],[0.486],['KLL'],[179],[0.289]
C,['1s'],[284.2],[1],['KLL'],[272],[0.209]
N,"['1s', '2s']","[409.9, 37.3]","[1.8, 0.0867]",['KLL'],[379],[0.159]
O,"['1s', '2s']","[543.1, 41.6]","[2.93, 0.1405]",['KLL'],[503],[0.129]
F,['1s'],[696.7],[4.43],['KLL'],[647],[0.105]
Ne,"['1s', '2s', '2p1/2', '2p3/2']","[870.2, 48.5, 21.7, 21.6]","[6.3, 0.296, 0.0347, 0.0683]",['KLL'],[805],[0.0846]
Na,"['1s', '2s', '2p1/2', '2p3/2']","[1070.8, 63.5, 30.65, 30.81]","[8.52, 0.422, 0.0654, 0.1287]",['KLL'],[990],[0.0714]
Mg,"['1s', '2s', '2p1/2', '2p3/2']","[1303, 88.7, 49.78, 49.5]","[11.18, 0.575, 0.1125, 0.221]","['KLL', 'LMM']","[1186, 45]","[0.0593, 3.43]"
Al,"['1s', '2s', '2p1/2', '2p3/2']","[1559.6, 117.8, 72.95, 72.55]","[0.0001, 0.753, 0.1811, 0.356]","['KLL', 'LMM']","[1396, 68]","[0.0497, 2.44]"
Si,"['1s', '2s', '2p1/2', '2p3/2']","[1839, 149.7, 99.82, 99.42]","[0.0001, 0.955, 0.276, 0.541]","['KLL', 'LMM']","[1619, 92]","[0.0417, 1.78]"
P,"['1s', '2s', '2p1/2', '2p3/2']","[2145.5, 189, 136, 135]","[0.0001, 1.18, 0.403, 0.789]","['KLL', 'LMM']","[1859, 120]","[0.035, 1.36]"
S,"['1s', '2s', '2p1/2', '2p3/2']","[2472, 230.9, 163.6, 162.5]","[0.0001, 1.43, 0.567, 1.11]","['KLL', 'LMM']","[2117, 152]","[0.0295, 1.14]"
Cl,"['1s', '2s', '2p1/2', '2p3/2']","[2822.4, 270, 202, 200]","[0.0001, 1.69, 0.775, 1.51]","['KLL', 'LMM']","[2378, 181]","[0.0001, 0.984]"
Ar,"['1s', '2s', '2p1/2', '2p3/2', '3s', '3p1/2', '3p3/2']","[3205.9, 326.3, 250.6, 248.4, 29.3, 15.9, 15.7]","[0.0001, 1.97, 1.03, 2.01, 0.227, 0.0821, 0.1597]",['LMM'],[215],[0.827]
K,"['1s', '2s', '2p1/2', '2p3/2', '3s', '3p1/2', '3p3/2']","[3608.4, 378.6, 297.3, 294.6, 34.8, 18.3, 18.3]","[0.0001, 2.27, 1.35, 2.62, 0.286, 0.1229, 0.239]",['LMM'],[252],[0.723]
Ca,"['1s', '2s', '2p1/2', '2p3/2', '3s', '3p1/2', '3p3/2']","[4038.5, 438.4, 349.7, 346.2, 44.3, 25.4, 25.4]","[0.0001, 2.59, 1.72, 3.35, 0.351, 0.172, 0.335]","['LMM', 'MNN']","[291, 20]","[0.633, 0.0001]"
Sc,"['1s', '2s', '2p1/2', '2p3/2', '3s', '3p1/2', '3p3/2']","[4492, 498, 403.6, 398.7, 51.1, 28.3, 28.3]","[0.0001, 2.91, 2.17, 4.21, 0.411, 0.221, 0.429]","['LMM', 'MNN']","[340, 24]","[0.563, 0.0001]"
