BE/eV	PE: 20.0 eV
900.0	114.0
899.9	119.0
899.8	125.0
899.7	122.0
899.6	95.0
899.5	124.0
899.4	108.0
899.3	122.0
899.2	105.0
899.1	125.0
899.0	111.0
898.9	112.0
898.8	109.0
898.7	98.0
898.6	113.0
898.5	109.0
898.4	117.0
898.3	113.0
898.2	112.0
898.1	96.0
898.0	108.0
897.9	112.0
897.8	110.0
897.7	101.0
897.6	114.0
897.5	118.0
897.4	109.0
897.3	102.0
897.2	101.0
897.1	123.0
897.0	105.0
896.9	108.0
896.8	112.0
896.7	118.0
896.6	114.0
896.5	114.0
896.4	101.0
896.3	106.0
896.2	115.0
896.1	108.0
896.0	118.0
895.9	104.0
895.8	116.0
895.7	120.0
895.6	108.0
895.5	106.0
895.4	100.0
895.3	103.0
895.2	95.0
895.1	106.0
895.0	97.0
894.9	114.0
894.8	103.0
894.7	115.0
894.6	114.0
894.5	111.0
894.4	118.0
894.3	103.0
894.2	103.0
894.1	103.0
894.0	102.0
893.9	99.0
893.8	111.0
893.7	119.0
893.6	132.0
893.5	118.0
893.4	109.0
893.3	115.0
893.2	112.0
893.1	102.0
893.0	103.0
892.9	119.0
892.8	123.0
892.7	102.0
892.6	93.0
892.5	100.0
892.4	115.0
892.3	92.0
892.2	113.0
892.1	109.0
892.0	108.0
891.9	106.0
891.8	124.0
891.7	115.0
891.6	103.0
891.5	104.0
891.4	100.0
891.3	115.0
891.2	109.0
891.1	102.0
891.0	119.0
890.9	117.0
890.8	98.0
890.7	96.0
890.6	103.0
890.5	104.0
890.4	108.0
890.3	99.0
890.2	119.0
890.1	101.0
890.0	107.0
889.9	111.0
889.8	108.0
889.7	129.0
889.6	121.0
889.5	109.0
889.4	102.0
889.3	116.0
889.2	115.0
889.1	123.0
889.0	115.0
888.9	118.0
888.8	116.0
888.7	99.0
888.6	115.0
888.5	111.0
888.4	114.0
888.3	109.0
888.2	111.0
888.1	119.0
888.0	115.0
887.9	114.0
887.8	102.0
887.7	108.0
887.6	107.0
887.5	108.0
887.4	107.0
887.3	109.0
887.2	120.0
887.1	97.0
887.0	99.0
886.9	103.0
886.8	115.0
886.7	110.0
886.6	101.0
886.5	112.0
886.4	121.0
886.3	110.0
886.2	95.0
886.1	110.0
886.0	118.0
885.9	104.0
885.8	113.0
885.7	107.0
885.6	124.0
885.5	105.0
885.4	110.0
885.3	99.0
885.2	103.0
885.1	124.0
885.0	118.0
884.9	91.0
884.8	109.0
884.7	106.0
884.6	106.0
884.5	108.0
884.4	121.0
884.3	115.0
884.2	101.0
884.1	100.0
884.0	104.0
883.9	104.0
883.8	118.0
883.7	104.0
883.6	106.0
883.5	120.0
883.4	115.0
883.3	114.0
883.2	119.0
883.1	109.0
883.0	109.0
882.9	112.0
882.8	100.0
882.7	111.0
882.6	106.0
882.5	116.0
882.4	113.0
882.3	99.0
882.2	114.0
882.1	104.0
882.0	106.0
881.9	106.0
881.8	105.0
881.7	104.0
881.6	106.0
881.5	107.0
881.4	110.0
881.3	105.0
881.2	101.0
881.1	113.0
881.0	106.0
880.9	91.0
880.8	119.0
880.7	115.0
880.6	97.0
880.5	116.0
880.4	112.0
880.3	110.0
880.2	112.0
880.1	125.0
880.0	107.0
879.9	102.0
879.8	107.0
879.7	108.0
879.6	110.0
879.5	111.0
879.4	124.0
879.3	123.0
879.2	105.0
879.1	100.0
879.0	114.0
878.9	112.0
878.8	110.0
878.7	108.0
878.6	122.0
878.5	121.0
878.4	101.0
878.3	108.0
878.2	119.0
878.1	110.0
878.0	113.0
877.9	110.0
877.8	104.0
877.7	125.0
877.6	116.0
877.5	117.0
877.4	112.0
877.3	119.0
877.2	114.0
877.1	108.0
877.0	114.0
876.9	109.0
876.8	117.0
876.7	111.0
876.6	108.0
876.5	114.0
876.4	115.0
876.3	121.0
876.2	114.0
876.1	119.0
876.0	112.0
875.9	116.0
875.8	106.0
875.7	115.0
875.6	110.0
875.5	112.0
875.4	110.0
875.3	100.0
875.2	113.0
875.1	110.0
875.0	105.0
874.9	114.0
874.8	87.0
874.7	108.0
874.6	107.0
874.5	123.0
874.4	122.0
874.3	111.0
874.2	121.0
874.1	107.0
874.0	121.0
873.9	108.0
873.8	124.0
873.7	112.0
873.6	96.0
873.5	105.0
873.4	109.0
873.3	118.0
873.2	104.0
873.1	107.0
873.0	100.0
872.9	104.0
872.8	108.0
872.7	101.0
872.6	120.0
872.5	107.0
872.4	108.0
872.3	100.0
872.2	114.0
872.1	118.0
872.0	105.0
871.9	102.0
871.8	107.0
871.7	113.0
871.6	117.0
871.5	106.0
871.4	97.0
871.3	104.0
871.2	92.0
871.1	100.0
871.0	96.0
870.9	117.0
870.8	103.0
870.7	101.0
870.6	98.0
870.5	101.0
870.4	110.0
870.3	102.0
870.2	109.0
870.1	129.0
870.0	130.0
869.9	121.0
869.8	118.0
869.7	110.0
869.6	121.0
869.5	111.0
869.4	120.0
869.3	106.0
869.2	100.0
869.1	107.0
869.0	96.0
868.9	107.0
868.8	120.0
868.7	123.0
868.6	121.0
868.5	118.0
868.4	104.0
868.3	96.0
868.2	102.0
868.1	115.0
868.0	113.0
867.9	103.0
867.8	105.0
867.7	121.0
867.6	116.0
867.5	105.0
867.4	106.0
867.3	112.0
867.2	116.0
867.1	115.0
867.0	110.0
866.9	117.0
866.8	121.0
866.7	117.0
866.6	103.0
866.5	113.0
866.4	122.0
866.3	124.0
866.2	113.0
866.1	115.0
866.0	115.0
865.9	119.0
865.8	113.0
865.7	110.0
865.6	103.0
865.5	122.0
865.4	116.0
865.3	99.0
865.2	99.0
865.1	118.0
865.0	113.0
864.9	114.0
864.8	111.0
864.7	137.0
864.6	119.0
864.5	128.0
864.4	127.0
864.3	123.0
864.2	107.0
864.1	116.0
864.0	126.0
863.9	115.0
863.8	112.0
863.7	120.0
863.6	127.0
863.5	114.0
863.4	99.0
863.3	111.0
863.2	119.0
863.1	111.0
863.0	114.0
862.9	120.0
862.8	126.0
862.7	128.0
862.6	114.0
862.5	116.0
862.4	112.0
862.3	105.0
862.2	104.0
862.1	115.0
862.0	111.0
861.9	110.0
861.8	111.0
861.7	110.0
861.6	100.0
861.5	106.0
861.4	125.0
861.3	127.0
861.2	111.0
861.1	107.0
861.0	114.0
860.9	133.0
860.8	122.0
860.7	109.0
860.6	106.0
860.5	96.0
860.4	91.0
860.3	103.0
860.2	111.0
860.1	117.0
860.0	113.0
859.9	116.0
859.8	109.0
859.7	108.0
859.6	102.0
859.5	111.0
859.4	120.0
859.3	103.0
859.2	106.0
859.1	104.0
859.0	112.0
858.9	101.0
858.8	123.0
858.7	122.0
858.6	109.0
858.5	96.0
858.4	123.0
858.3	107.0
858.2	100.0
858.1	110.0
858.0	113.0
857.9	98.0
857.8	93.0
857.7	118.0
857.6	111.0
857.5	119.0
857.4	120.0
857.3	108.0
857.2	115.0
857.1	125.0
857.0	108.0
856.9	121.0
856.8	144.0
856.7	122.0
856.6	112.0
856.5	99.0
856.4	115.0
856.3	97.0
856.2	88.0
856.1	112.0
856.0	115.0
855.9	97.0
855.8	111.0
855.7	113.0
855.6	109.0
855.5	123.0
855.4	134.0
855.3	117.0
855.2	118.0
855.1	127.0
