BE/eV	PE: 20.0 eV
545.0	1620.0
544.9	1707.0
544.8	1672.0
544.7	1648.0
544.6	1606.0
544.5	1709.0
544.4	1737.0
544.3	1691.0
544.2	1736.0
544.1	1706.0
544.0	1762.0
543.9	1747.0
543.8	1624.0
543.7	1619.0
543.6	1708.0
543.5	1710.0
543.4	1649.0
543.3	1695.0
543.2	1668.0
543.1	1623.0
543.0	1697.0
542.9	1660.0
542.8	1707.0
542.7	1760.0
542.6	1727.0
542.5	1642.0
542.4	1657.0
542.3	1720.0
542.2	1717.0
542.1	1718.0
542.0	1696.0
541.9	1699.0
541.8	1655.0
541.7	1709.0
541.6	1699.0
541.5	1646.0
541.4	1685.0
541.3	1686.0
541.2	1675.0
541.1	1674.0
541.0	1656.0
540.9	1728.0
540.8	1666.0
540.7	1674.0
540.6	1697.0
540.5	1623.0
540.4	1639.0
540.3	1614.0
540.2	1619.0
540.1	1637.0
540.0	1665.0
539.9	1612.0
539.8	1630.0
539.7	1604.0
539.6	1655.0
539.5	1616.0
539.4	1593.0
539.3	1554.0
539.2	1556.0
539.1	1542.0
539.0	1597.0
538.9	1548.0
538.8	1585.0
538.7	1588.0
538.6	1542.0
538.5	1565.0
538.4	1536.0
538.3	1526.0
538.2	1511.0
538.1	1611.0
538.0	1572.0
537.9	1544.0
537.8	1556.0
537.7	1586.0
537.6	1502.0
537.5	1478.0
537.4	1457.0
537.3	1559.0
537.2	1572.0
537.1	1580.0
537.0	1571.0
536.9	1512.0
536.8	1494.0
536.7	1519.0
536.6	1546.0
536.5	1540.0
536.4	1518.0
536.3	1564.0
536.2	1536.0
536.1	1540.0
536.0	1517.0
535.9	1535.0
535.8	1548.0
535.7	1544.0
535.6	1547.0
535.5	1530.0
535.4	1490.0
535.3	1476.0
535.2	1521.0
535.1	1549.0
535.0	1550.0
534.9	1543.0
534.8	1555.0
534.7	1512.0
534.6	1498.0
534.5	1502.0
534.4	1559.0
534.3	1491.0
534.2	1495.0
534.1	1471.0
534.0	1467.0
533.9	1530.0
533.8	1469.0
533.7	1475.0
533.6	1516.0
533.5	1468.0
533.4	1477.0
533.3	1477.0
533.2	1500.0
533.1	1444.0
533.0	1419.0
532.9	1444.0
532.8	1470.0
532.7	1423.0
532.6	1483.0
532.5	1420.0
532.4	1455.0
532.3	1443.0
532.2	1413.0
532.1	1448.0
532.0	1480.0
531.9	1474.0
531.8	1469.0
531.7	1511.0
531.6	1460.0
531.5	1496.0
531.4	1529.0
531.3	1542.0
531.2	1522.0
531.1	1539.0
531.0	1598.0
530.9	1684.0
530.8	1671.0
530.7	1732.0
530.6	1809.0
530.5	1851.0
530.4	1958.0
530.3	2044.0
530.2	2056.0
530.1	2159.0
530.0	2245.0
529.9	2373.0
529.8	2456.0
529.7	2632.0
529.6	2762.0
529.5	2921.0
529.4	3147.0
529.3	3269.0
529.2	3596.0
529.1	3857.0
529.0	4109.0
528.9	4526.0
528.8	4667.0
528.7	4890.0
528.6	4998.0
528.5	5106.0
528.4	5166.0
528.3	5050.0
528.2	4677.0
528.1	4423.0
528.0	4098.0
527.9	3828.0
527.8	3518.0
527.7	3088.0
527.6	2753.0
527.5	2496.0
527.4	2256.0
527.3	2087.0
527.2	1891.0
527.1	1757.0
527.0	1677.0
526.9	1598.0
526.8	1571.0
526.7	1445.0
526.6	1405.0
526.5	1473.0
526.4	1487.0
526.3	1412.0
526.2	1333.0
526.1	1348.0
526.0	1334.0
525.9	1326.0
525.8	1342.0
525.7	1316.0
525.6	1346.0
525.5	1352.0
525.4	1319.0
525.3	1310.0
525.2	1338.0
525.1	1322.0
525.0	1338.0
524.9	1370.0
524.8	1353.0
524.7	1375.0
524.6	1339.0
524.5	1328.0
524.4	1360.0
524.3	1365.0
524.2	1352.0
524.1	1363.0
524.0	1380.0
523.9	1303.0
523.8	1407.0
523.7	1268.0
523.6	1309.0
523.5	1320.0
523.4	1355.0
523.3	1313.0
523.2	1329.0
523.1	1296.0
523.0	1378.0
522.9	1322.0
522.8	1343.0
522.7	1333.0
522.6	1361.0
522.5	1339.0
522.4	1317.0
522.3	1334.0
522.2	1352.0
522.1	1339.0
522.0	1287.0
521.9	1362.0
521.8	1384.0
521.7	1291.0
521.6	1358.0
521.5	1295.0
521.4	1305.0
521.3	1291.0
521.2	1384.0
521.1	1326.0
521.0	1319.0
520.9	1320.0
520.8	1360.0
520.7	1318.0
520.6	1336.0
520.5	1369.0
520.4	1356.0
520.3	1337.0
520.2	1317.0
520.1	1323.0
520.0	1315.0
