BE/eV	PE: 160.0 eV
1200.0	2106.0
1199.0	2115.0
1198.0	2073.0
1197.0	2052.0
1196.0	2088.0
1195.0	2050.0
1194.0	2050.0
1193.0	2059.0
1192.0	2069.0
1191.0	2121.0
1190.0	2131.0
1189.0	2135.0
1188.0	2096.0
1187.0	2123.0
1186.0	2098.0
1185.0	2167.0
1184.0	2165.0
1183.0	2021.0
1182.0	2032.0
1181.0	2060.0
1180.0	2120.0
1179.0	2149.0
1178.0	2099.0
1177.0	2072.0
1176.0	2103.0
1175.0	2093.0
1174.0	2064.0
1173.0	2068.0
1172.0	2104.0
1171.0	2107.0
1170.0	2087.0
1169.0	2130.0
1168.0	2099.0
1167.0	2066.0
1166.0	2118.0
1165.0	2127.0
1164.0	2070.0
1163.0	2116.0
1162.0	2125.0
1161.0	2144.0
1160.0	2108.0
1159.0	2069.0
1158.0	2135.0
1157.0	2146.0
1156.0	2146.0
1155.0	2168.0
1154.0	2090.0
1153.0	2164.0
1152.0	2135.0
1151.0	2161.0
1150.0	2153.0
1149.0	2190.0
1148.0	2167.0
1147.0	2184.0
1146.0	2132.0
1145.0	2200.0
1144.0	2147.0
1143.0	2107.0
1142.0	2126.0
1141.0	2184.0
1140.0	2095.0
1139.0	2160.0
1138.0	2163.0
1137.0	2132.0
1136.0	2154.0
1135.0	2238.0
1134.0	2160.0
1133.0	2104.0
1132.0	2230.0
1131.0	2216.0
1130.0	2117.0
1129.0	2141.0
1128.0	2163.0
1127.0	2127.0
1126.0	2080.0
1125.0	2149.0
1124.0	2087.0
1123.0	2091.0
1122.0	2142.0
1121.0	2121.0
1120.0	2205.0
1119.0	2127.0
1118.0	2133.0
1117.0	2162.0
1116.0	2117.0
1115.0	2118.0
1114.0	2172.0
1113.0	2191.0
1112.0	2175.0
1111.0	2153.0
1110.0	2175.0
1109.0	2172.0
1108.0	2189.0
1107.0	2219.0
1106.0	2143.0
1105.0	2168.0
1104.0	2150.0
1103.0	2091.0
1102.0	2135.0
1101.0	2194.0
1100.0	2164.0
1099.0	2163.0
1098.0	2179.0
1097.0	2137.0
1096.0	2164.0
1095.0	2244.0
1094.0	2204.0
1093.0	2127.0
1092.0	2140.0
1091.0	2164.0
1090.0	2119.0
1089.0	2158.0
1088.0	2150.0
1087.0	2103.0
1086.0	2201.0
1085.0	2193.0
1084.0	2184.0
1083.0	2147.0
1082.0	2186.0
1081.0	2113.0
1080.0	2101.0
1079.0	2105.0
1078.0	2166.0
1077.0	2172.0
1076.0	2137.0
1075.0	2142.0
1074.0	2181.0
1073.0	2074.0
1072.0	2127.0
1071.0	2164.0
1070.0	2228.0
1069.0	2167.0
1068.0	2239.0
1067.0	2162.0
1066.0	2190.0
1065.0	2161.0
1064.0	2181.0
1063.0	2131.0
1062.0	2165.0
1061.0	2209.0
1060.0	2227.0
1059.0	2258.0
1058.0	2174.0
1057.0	2142.0
1056.0	2240.0
1055.0	2246.0
1054.0	2216.0
1053.0	2254.0
1052.0	2251.0
1051.0	2279.0
1050.0	2225.0
1049.0	2280.0
1048.0	2229.0
1047.0	2189.0
1046.0	2209.0
1045.0	2185.0
1044.0	2239.0
1043.0	2211.0
1042.0	2192.0
1041.0	2172.0
1040.0	2271.0
1039.0	2288.0
1038.0	2223.0
1037.0	2287.0
1036.0	2282.0
1035.0	2281.0
1034.0	2212.0
1033.0	2234.0
1032.0	2178.0
1031.0	2234.0
1030.0	2269.0
1029.0	2228.0
1028.0	2258.0
1027.0	2269.0
1026.0	2288.0
1025.0	2331.0
1024.0	2319.0
1023.0	2262.0
1022.0	2308.0
1021.0	2276.0
1020.0	2259.0
1019.0	2302.0
1018.0	2299.0
1017.0	2267.0
1016.0	2314.0
1015.0	2295.0
1014.0	2307.0
1013.0	2333.0
1012.0	2345.0
1011.0	2310.0
1010.0	2373.0
1009.0	2409.0
1008.0	2384.0
1007.0	2325.0
1006.0	2309.0
1005.0	2384.0
1004.0	2339.0
1003.0	2408.0
1002.0	2285.0
1001.0	2319.0
1000.0	2290.0
999.0	2260.0
998.0	2424.0
997.0	2409.0
996.0	2465.0
995.0	2526.0
994.0	2490.0
993.0	2495.0
992.0	2520.0
991.0	2416.0
990.0	2352.0
989.0	2333.0
988.0	2282.0
987.0	2286.0
986.0	2315.0
985.0	2246.0
984.0	2232.0
983.0	2235.0
982.0	2290.0
981.0	2311.0
980.0	2234.0
979.0	2308.0
978.0	2340.0
977.0	2423.0
976.0	2501.0
975.0	2637.0
974.0	2737.0
973.0	2731.0
972.0	2621.0
971.0	2587.0
970.0	2382.0
969.0	2255.0
968.0	2243.0
967.0	2111.0
966.0	2032.0
965.0	2015.0
964.0	1932.0
963.0	1910.0
962.0	1808.0
961.0	1788.0
960.0	1822.0
959.0	1830.0
958.0	1859.0
957.0	1868.0
956.0	1799.0
955.0	1842.0
954.0	1868.0
953.0	1748.0
952.0	1809.0
951.0	1774.0
950.0	1808.0
949.0	1806.0
948.0	1801.0
947.0	1787.0
946.0	1820.0
945.0	1900.0
944.0	1884.0
943.0	1859.0
942.0	1799.0
941.0	1825.0
940.0	1848.0
939.0	1846.0
938.0	1952.0
937.0	1883.0
936.0	1884.0
935.0	1828.0
934.0	1841.0
933.0	1881.0
932.0	1767.0
931.0	1841.0
930.0	1904.0
929.0	1885.0
928.0	1863.0
927.0	1880.0
926.0	1799.0
925.0	1900.0
924.0	1868.0
923.0	1864.0
922.0	1856.0
921.0	1861.0
920.0	1870.0
919.0	1872.0
918.0	1840.0
917.0	1857.0
916.0	1896.0
915.0	1915.0
914.0	1910.0
913.0	1858.0
912.0	1844.0
911.0	1844.0
910.0	1858.0
909.0	1958.0
908.0	1962.0
907.0	1890.0
906.0	1928.0
905.0	1902.0
904.0	1892.0
903.0	1937.0
902.0	1884.0
901.0	1902.0
900.0	1900.0
899.0	1881.0
898.0	1890.0
897.0	1894.0
896.0	1900.0
895.0	1947.0
894.0	1925.0
893.0	1946.0
892.0	1955.0
891.0	1960.0
890.0	1950.0
889.0	1904.0
888.0	1961.0
887.0	1957.0
886.0	1981.0
885.0	1910.0
884.0	1950.0
883.0	1982.0
882.0	1960.0
881.0	2015.0
880.0	1979.0
879.0	1939.0
878.0	1958.0
877.0	1924.0
876.0	1935.0
875.0	1940.0
874.0	1890.0
873.0	1957.0
872.0	1993.0
871.0	1929.0
870.0	2019.0
869.0	1978.0
868.0	1937.0
867.0	1957.0
866.0	1997.0
865.0	1925.0
864.0	1979.0
863.0	2035.0
862.0	1940.0
861.0	2009.0
860.0	1990.0
859.0	1997.0
858.0	1978.0
857.0	1984.0
856.0	1961.0
855.0	2003.0
854.0	2010.0
853.0	1988.0
852.0	1949.0
851.0	1954.0
850.0	1934.0
849.0	1926.0
848.0	1958.0
847.0	1966.0
846.0	1975.0
845.0	1968.0
844.0	2028.0
843.0	2102.0
842.0	2024.0
841.0	2026.0
840.0	2015.0
839.0	1976.0
838.0	1988.0
837.0	1997.0
836.0	1995.0
835.0	1991.0
834.0	2103.0
833.0	2024.0
832.0	1974.0
831.0	2005.0
830.0	2051.0
829.0	1966.0
828.0	2046.0
827.0	2078.0
826.0	2056.0
825.0	2012.0
824.0	2052.0
823.0	2044.0
822.0	2037.0
821.0	2088.0
820.0	2009.0
819.0	2006.0
818.0	2074.0
817.0	2059.0
816.0	2043.0
815.0	2005.0
