BE/eV	PE: 46.95 eV
305.0	2047.5
304.95	2052.5
304.9	2122.5
304.85	2075.0
304.8	2140.0
304.75	2027.5
304.7	2095.0
304.65	1927.5
304.6	1997.5
304.55	2097.5
304.5	2057.5
304.45	1925.0
304.4	1862.5
304.35	2190.0
304.3	2040.0
304.25	2052.5
304.2	2015.0
304.15	2050.0
304.1	2055.0
304.05	2097.5
304.0	2045.0
303.95	2062.5
303.9	2110.0
303.85	2152.5
303.8	2040.0
303.75	2045.0
303.7	1957.5
303.65	1990.0
303.6	2060.0
303.55	1967.5
303.5	1980.0
303.45	2002.5
303.4	1992.5
303.35	1982.5
303.3	2035.0
303.25	2025.0
303.2	1972.5
303.15	2035.0
303.1	2085.0
303.05	1947.5
303.0	2102.5
302.95	2020.0
302.9	1922.5
302.85	1910.0
302.8	1852.5
302.75	1965.0
302.7	2005.0
302.65	1792.5
302.6	2042.5
302.55	1940.0
302.5	1990.0
302.45	1920.0
302.4	2000.0
302.35	1975.0
302.3	1930.0
302.25	1975.0
302.2	2017.5
302.15	1860.0
302.1	2057.5
302.05	1917.5
302.0	2012.5
301.95	1955.0
301.9	1972.5
301.85	1967.5
301.8	1920.0
301.75	1852.5
301.7	1822.5
301.65	1932.5
301.6	1992.5
301.55	1855.0
301.5	1832.5
301.45	1755.0
301.4	1980.0
301.35	1927.5
301.3	1792.5
301.25	1955.0
301.2	1877.5
301.15	1855.0
301.1	1862.5
301.05	1917.5
301.0	1870.0
300.95	1757.5
300.9	1967.5
300.85	1897.5
300.8	1887.5
300.75	1910.0
300.7	1902.5
300.65	1940.0
300.6	1985.0
300.55	1810.0
300.5	1832.5
300.45	1827.5
300.4	1915.0
300.35	1890.0
300.3	1880.0
300.25	1825.0
300.2	1822.5
300.15	1912.5
300.1	1767.5
300.05	1790.0
300.0	1872.5
299.95	1780.0
299.9	1842.5
299.85	1827.5
299.8	1775.0
299.75	1837.5
299.7	1815.0
299.65	1835.0
299.6	1787.5
299.55	2017.5
299.5	1800.0
299.45	1782.5
299.4	1842.5
299.35	1867.5
299.3	1790.0
299.25	1900.0
299.2	1807.5
299.15	1857.5
299.1	1762.5
299.05	1920.0
299.0	1750.0
298.95	1892.5
298.9	1785.0
298.85	1877.5
298.8	1777.5
298.75	1702.5
298.7	1752.5
298.65	1675.0
298.6	1822.5
298.55	1877.5
298.5	1740.0
298.45	1800.0
298.4	1747.5
298.35	1915.0
298.3	1795.0
298.25	1807.5
298.2	1785.0
298.15	1882.5
298.1	1750.0
298.05	1792.5
298.0	1790.0
297.95	1850.0
297.9	1732.5
297.85	1770.0
297.8	1787.5
297.75	1797.5
297.7	1702.5
297.65	1752.5
297.6	1795.0
297.55	1652.5
297.5	1665.0
297.45	1777.5
297.4	1870.0
297.35	1787.5
297.3	1762.5
297.25	1717.5
297.2	1902.5
297.15	1692.5
297.1	1670.0
297.05	1682.5
297.0	1617.5
296.95	1682.5
296.9	1892.5
296.85	1737.5
296.8	1735.0
296.75	1722.5
296.7	1695.0
296.65	1715.0
296.6	1615.0
296.55	1712.5
296.5	1832.5
296.45	1755.0
296.4	1705.0
296.35	1602.5
296.3	1652.5
296.25	1747.5
296.2	1725.0
