BE/eV	PE: 46.95 eV
555.0	2952.5
554.95	2920.0
554.9	3010.0
554.85	2855.0
554.8	2792.5
554.75	2960.0
554.7	2832.5
554.65	2855.0
554.6	2930.0
554.55	2947.5
554.5	2932.5
554.45	2970.0
554.4	2955.0
554.35	2765.0
554.3	3050.0
554.25	2945.0
554.2	3042.5
554.15	2990.0
554.1	3007.5
554.05	2795.0
554.0	2855.0
553.95	2812.5
553.9	2960.0
553.85	2862.5
553.8	2782.5
553.75	2940.0
553.7	2912.5
553.65	2910.0
553.6	2965.0
553.55	2905.0
553.5	2822.5
553.45	2965.0
553.4	2972.5
553.35	2910.0
553.3	2837.5
553.25	3035.0
553.2	3022.5
553.15	2792.5
553.1	2955.0
553.05	3030.0
553.0	3005.0
552.95	2870.0
552.9	2942.5
552.85	3110.0
552.8	3070.0
552.75	2847.5
552.7	3015.0
552.65	3090.0
552.6	2777.5
552.55	2760.0
552.5	2805.0
552.45	3020.0
552.4	2850.0
552.35	2955.0
552.3	2830.0
552.25	2797.5
552.2	2960.0
552.15	2825.0
552.1	2905.0
552.05	2877.5
552.0	2935.0
551.95	2735.0
551.9	2992.5
551.85	2862.5
551.8	2955.0
551.75	2980.0
551.7	2970.0
551.65	2970.0
551.6	2795.0
551.55	3000.0
551.5	2807.5
551.45	2835.0
551.4	2905.0
551.35	2970.0
551.3	3027.5
551.25	2832.5
551.2	2902.5
551.15	3012.5
551.1	2760.0
551.05	2860.0
551.0	2812.5
550.95	2897.5
550.9	2867.5
550.85	2810.0
550.8	2807.5
550.75	2872.5
550.7	2855.0
550.65	2770.0
550.6	2952.5
550.55	2777.5
550.5	3035.0
550.45	3032.5
550.4	2830.0
550.35	2817.5
550.3	2890.0
550.25	2860.0
550.2	2777.5
550.15	2840.0
550.1	2955.0
550.05	2930.0
550.0	2800.0
549.95	2810.0
549.9	2727.5
549.85	2880.0
549.8	2795.0
549.75	2850.0
549.7	2810.0
549.65	2947.5
549.6	2712.5
549.55	2920.0
549.5	2927.5
549.45	2880.0
549.4	2792.5
549.35	2797.5
549.3	2735.0
549.25	2880.0
549.2	2822.5
549.15	2780.0
549.1	2917.5
549.05	2787.5
549.0	2802.5
548.95	2860.0
548.9	2897.5
548.85	2870.0
548.8	2900.0
548.75	2945.0
548.7	2835.0
548.65	2940.0
548.6	2742.5
548.55	2772.5
548.5	2930.0
548.45	2922.5
548.4	2887.5
548.35	2722.5
548.3	2587.5
548.25	2900.0
548.2	2752.5
548.15	3050.0
548.1	2690.0
548.05	2935.0
548.0	2962.5
547.95	2872.5
547.9	2842.5
547.85	2915.0
547.8	2735.0
547.75	2947.5
547.7	2867.5
547.65	2982.5
547.6	2847.5
547.55	2817.5
547.5	2632.5
547.45	2882.5
547.4	2850.0
547.35	2805.0
547.3	2920.0
547.25	2882.5
547.2	2835.0
547.15	2720.0
547.1	2877.5
547.05	2987.5
547.0	2912.5
546.95	2827.5
546.9	2787.5
546.85	2862.5
546.8	2787.5
546.75	2842.5
546.7	2897.5
546.65	2977.5
546.6	2675.0
546.55	2777.5
546.5	2952.5
546.45	2972.5
546.4	2877.5
546.35	2880.0
546.3	2905.0
546.25	2810.0
546.2	2910.0
546.15	2777.5
546.1	2715.0
546.05	2857.5
546.0	2782.5
545.95	2887.5
545.9	2737.5
545.85	2890.0
545.8	2890.0
545.75	2752.5
545.7	2905.0
545.65	2702.5
545.6	2940.0
545.55	2845.0
545.5	2800.0
545.45	2910.0
545.4	3015.0
545.35	2770.0
545.3	2867.5
545.25	2687.5
545.2	2775.0
545.15	2835.0
545.1	2760.0
545.05	2777.5
545.0	2812.5
544.95	2817.5
544.9	2707.5
544.85	2615.0
544.8	2792.5
544.75	2815.0
544.7	2882.5
544.65	2817.5
544.6	2822.5
544.55	2650.0
544.5	2695.0
544.45	2657.5
544.4	2680.0
544.35	2747.5
544.3	2652.5
544.25	2857.5
544.2	2767.5
