BE/eV	PE: 46.95 eV
180.0	528.75
179.95	542.5
179.9	515.0
179.85	513.75
179.8	515.0
179.75	492.5
179.7	515.0
179.65	476.25
179.6	507.5
179.55	532.5
179.5	492.5
179.45	497.5
179.4	480.0
179.35	498.75
179.3	513.75
179.25	503.75
179.2	506.25
179.15	483.75
179.1	496.25
179.05	435.0
179.0	506.25
178.95	501.25
178.9	456.25
178.85	507.5
178.8	498.75
178.75	480.0
178.7	468.75
178.65	445.0
178.6	452.5
178.55	518.75
178.5	467.5
178.45	495.0
178.4	492.5
178.35	441.25
178.3	468.75
178.25	463.75
178.2	493.75
178.15	487.5
178.1	447.5
178.05	481.25
178.0	446.25
177.95	472.5
177.9	520.0
177.85	480.0
177.8	450.0
177.75	418.75
177.7	420.0
177.65	451.25
177.6	461.25
177.55	471.25
177.5	438.75
177.45	455.0
177.4	460.0
177.35	492.5
177.3	462.5
177.25	456.25
177.2	457.5
177.15	446.25
177.1	466.25
177.05	411.25
177.0	446.25
176.95	493.75
176.9	470.0
176.85	436.25
176.8	427.5
176.75	438.75
176.7	427.5
176.65	446.25
176.6	445.0
176.55	472.5
176.5	412.5
176.45	433.75
176.4	451.25
176.35	468.75
176.3	445.0
176.25	398.75
176.2	451.25
176.15	441.25
176.1	458.75
176.05	451.25
176.0	430.0
175.95	402.5
175.9	416.25
175.85	420.0
175.8	456.25
175.75	395.0
175.7	445.0
175.65	380.0
175.6	418.75
175.55	415.0
175.5	450.0
175.45	425.0
175.4	415.0
175.35	435.0
175.3	427.5
175.25	442.5
175.2	460.0
175.15	455.0
175.1	397.5
175.05	406.25
175.0	403.75
174.95	470.0
174.9	430.0
174.85	455.0
174.8	461.25
174.75	407.5
174.7	442.5
174.65	472.5
174.6	456.25
174.55	408.75
174.5	448.75
174.45	392.5
174.4	448.75
174.35	417.5
174.3	412.5
174.25	442.5
174.2	436.25
174.15	428.75
174.1	432.5
174.05	470.0
174.0	475.0
173.95	405.0
173.9	436.25
173.85	425.0
173.8	450.0
173.75	431.25
173.7	435.0
173.65	431.25
173.6	426.25
173.55	457.5
173.5	421.25
173.45	457.5
173.4	457.5
173.35	463.75
173.3	432.5
173.25	438.75
173.2	426.25
173.15	443.75
173.1	433.75
173.05	416.25
173.0	451.25
172.95	446.25
172.9	468.75
172.85	431.25
172.8	406.25
172.75	438.75
172.7	443.75
172.65	438.75
172.6	415.0
172.55	423.75
172.5	443.75
172.45	421.25
172.4	453.75
172.35	421.25
172.3	448.75
172.25	418.75
172.2	445.0
172.15	447.5
172.1	427.5
172.05	451.25
172.0	445.0
171.95	411.25
171.9	461.25
171.85	442.5
171.8	397.5
171.75	422.5
171.7	465.0
171.65	432.5
171.6	411.25
171.55	452.5
171.5	467.5
171.45	467.5
171.4	451.25
171.35	468.75
171.3	423.75
171.25	457.5
171.2	492.5
171.15	467.5
171.1	455.0
171.05	481.25
171.0	446.25
170.95	457.5
170.9	461.25
170.85	455.0
170.8	473.75
170.75	428.75
170.7	432.5
170.65	422.5
170.6	472.5
170.55	432.5
170.5	423.75
170.45	453.75
170.4	511.25
170.35	430.0
170.3	477.5
170.25	442.5
170.2	473.75
170.15	490.0
170.1	427.5
170.05	453.75
170.0	435.0
169.95	480.0
169.9	448.75
169.85	472.5
169.8	451.25
169.75	505.0
169.7	455.0
169.65	460.0
169.6	412.5
169.55	470.0
169.5	460.0
169.45	470.0
169.4	422.5
169.35	460.0
169.3	455.0
169.25	511.25
169.2	467.5
169.15	435.0
169.1	433.75
169.05	472.5
169.0	482.5
168.95	450.0
168.9	436.25
168.85	446.25
168.8	443.75
168.75	501.25
168.7	452.5
168.65	478.75
168.6	450.0
168.55	482.5
168.5	496.25
168.45	433.75
168.4	461.25
168.35	437.5
168.3	488.75
168.25	456.25
168.2	467.5
168.15	460.0
168.1	511.25
168.05	488.75
