BE/eV	PE: 46.95 eV
410.0	2805.0
409.95	2766.25
409.9	2817.5
409.85	2663.75
409.8	2777.5
409.75	2716.25
409.7	2812.5
409.65	2692.5
409.6	2723.75
409.55	2602.5
409.5	2696.25
409.45	2627.5
409.4	2705.0
409.35	2638.75
409.3	2635.0
409.25	2720.0
409.2	2590.0
409.15	2511.25
409.1	2628.75
409.05	2577.5
409.0	2628.75
408.95	2605.0
408.9	2706.25
408.85	2560.0
408.8	2442.5
408.75	2668.75
408.7	2566.25
408.65	2515.0
408.6	2510.0
408.55	2585.0
408.5	2617.5
408.45	2572.5
408.4	2493.75
408.35	2521.25
408.3	2528.75
408.25	2495.0
408.2	2553.75
408.15	2552.5
408.1	2591.25
408.05	2443.75
408.0	2443.75
407.95	2423.75
407.9	2572.5
407.85	2450.0
407.8	2526.25
407.75	2428.75
407.7	2521.25
407.65	2503.75
407.6	2431.25
407.55	2420.0
407.5	2406.25
407.45	2457.5
407.4	2427.5
407.35	2490.0
407.3	2361.25
407.25	2486.25
407.2	2528.75
407.15	2428.75
407.1	2548.75
407.05	2425.0
407.0	2381.25
406.95	2476.25
406.9	2361.25
406.85	2381.25
406.8	2353.75
406.75	2435.0
406.7	2381.25
406.65	2526.25
406.6	2315.0
406.55	2432.5
406.5	2343.75
406.45	2443.75
406.4	2452.5
406.35	2470.0
406.3	2465.0
406.25	2382.5
406.2	2433.75
406.15	2382.5
406.1	2452.5
406.05	2531.25
406.0	2437.5
405.95	2470.0
405.9	2347.5
405.85	2475.0
405.8	2405.0
405.75	2357.5
405.7	2425.0
405.65	2412.5
405.6	2390.0
405.55	2466.25
405.5	2400.0
405.45	2516.25
405.4	2395.0
405.35	2407.5
405.3	2476.25
405.25	2445.0
405.2	2376.25
405.15	2573.75
405.1	2326.25
405.05	2360.0
405.0	2420.0
404.95	2361.25
404.9	2407.5
404.85	2436.25
404.8	2382.5
404.75	2427.5
404.7	2356.25
404.65	2422.5
404.6	2367.5
404.55	2437.5
404.5	2560.0
404.45	2506.25
404.4	2420.0
404.35	2388.75
404.3	2375.0
404.25	2382.5
404.2	2385.0
404.15	2408.75
404.1	2480.0
404.05	2358.75
404.0	2418.75
403.95	2460.0
403.9	2435.0
403.85	2452.5
403.8	2382.5
403.75	2477.5
403.7	2356.25
403.65	2431.25
403.6	2416.25
403.55	2381.25
403.5	2465.0
403.45	2367.5
403.4	2363.75
403.35	2426.25
403.3	2321.25
403.25	2471.25
403.2	2425.0
403.15	2371.25
403.1	2395.0
403.05	2487.5
403.0	2471.25
402.95	2423.75
402.9	2407.5
402.85	2396.25
402.8	2468.75
402.75	2406.25
402.7	2465.0
402.65	2401.25
402.6	2420.0
402.55	2523.75
402.5	2502.5
402.45	2432.5
402.4	2406.25
402.35	2433.75
402.3	2538.75
402.25	2408.75
402.2	2566.25
402.15	2558.75
402.1	2475.0
402.05	2548.75
402.0	2486.25
401.95	2536.25
401.9	2545.0
401.85	2597.5
401.8	2466.25
401.75	2511.25
401.7	2591.25
401.65	2601.25
401.6	2805.0
401.55	2616.25
401.5	2723.75
401.45	2732.5
401.4	2702.5
401.35	2845.0
401.3	2811.25
401.25	2890.0
401.2	2971.25
401.15	2813.75
401.1	2911.25
401.05	3056.25
401.0	3011.25
400.95	3008.75
400.9	3038.75
400.85	2952.5
400.8	3117.5
400.75	3065.0
400.7	3140.0
400.65	3270.0
400.6	3170.0
400.55	3216.25
400.5	3255.0
400.45	3183.75
400.4	3291.25
400.35	3373.75
400.3	3425.0
400.25	3396.25
400.2	3231.25
400.15	3488.75
400.1	3447.5
400.05	3571.25
400.0	3436.25
399.95	3357.5
399.9	3503.75
399.85	3491.25
399.8	3558.75
399.75	3467.5
399.7	3593.75
399.65	3567.5
399.6	3558.75
399.55	3522.5
399.5	3502.5
399.45	3588.75
399.4	3606.25
399.35	3501.25
399.3	3550.0
399.25	3680.0
399.2	3570.0
399.15	3438.75
399.1	3498.75
399.05	3583.75
399.0	3470.0
398.95	3458.75
398.9	3527.5
398.85	3463.75
398.8	3380.0
398.75	3352.5
398.7	3458.75
398.65	3460.0
398.6	3380.0
398.55	3337.5
398.5	3296.25
398.45	3263.75
398.4	3281.25
398.35	3280.0
398.3	3302.5
398.25	3190.0
398.2	3090.0
398.15	3131.25
398.1	3116.25
398.05	3115.0
398.0	3020.0
397.95	2986.25
397.9	3111.25
397.85	3031.25
397.8	3075.0
397.75	3030.0
397.7	3033.75
397.65	2978.75
397.6	2980.0
397.55	2942.5
397.5	2956.25
397.45	2917.5
397.4	2778.75
397.35	2930.0
397.3	2803.75
397.25	2791.25
397.2	2898.75
397.15	2848.75
397.1	2828.75
397.05	2945.0
397.0	2776.25
396.95	2843.75
396.9	2811.25
396.85	2895.0
396.8	2846.25
396.75	2835.0
396.7	2837.5
396.65	2945.0
396.6	2731.25
396.55	2831.25
396.5	2907.5
396.45	2868.75
396.4	2913.75
396.35	2823.75
396.3	2860.0
396.25	2961.25
396.2	2938.75
396.15	2845.0
396.1	2991.25
396.05	3015.0
396.0	2986.25
395.95	3026.25
395.9	2953.75
395.85	3000.0
395.8	3041.25
395.75	3072.5
395.7	3011.25
395.65	3056.25
395.6	3140.0
395.55	3210.0
395.5	3210.0
395.45	3145.0
395.4	3255.0
395.35	3217.5
395.3	3227.5
395.25	3300.0
395.2	3310.0
395.15	3312.5
395.1	3335.0
395.05	3330.0
395.0	3413.75
394.95	3341.25
394.9	3336.25
394.85	3443.75
394.8	3411.25
394.75	3367.5
394.7	3448.75
394.65	3458.75
394.6	3431.25
394.55	3450.0
394.5	3473.75
394.45	3421.25
394.4	3580.0
394.35	3525.0
394.3	3600.0
394.25	3511.25
394.2	3508.75
394.15	3486.25
394.1	3377.5
394.05	3362.5
394.0	3407.5
393.95	3381.25
393.9	3447.5
393.85	3346.25
393.8	3407.5
393.75	3338.75
393.7	3433.75
393.65	3291.25
393.6	3248.75
393.55	3246.25
393.5	3175.0
393.45	3090.0
393.4	3060.0
393.35	3141.25
393.3	3123.75
393.25	3100.0
393.2	3032.5
393.15	3040.0
393.1	2891.25
393.05	2855.0
393.0	3006.25
392.95	2878.75
392.9	2900.0
392.85	2796.25
392.8	2781.25
392.75	2667.5
392.7	2860.0
392.65	2828.75
392.6	2697.5
392.55	2663.75
392.5	2732.5
392.45	2598.75
392.4	2591.25
392.35	2621.25
392.3	2646.25
392.25	2537.5
392.2	2410.0
392.15	2461.25
392.1	2528.75
392.05	2423.75
392.0	2421.25
391.95	2460.0
391.9	2405.0
391.85	2412.5
391.8	2361.25
391.75	2357.5
391.7	2316.25
391.65	2272.5
391.6	2377.5
391.55	2358.75
391.5	2350.0
391.45	2300.0
391.4	2355.0
391.35	2206.25
391.3	2250.0
391.25	2206.25
391.2	2167.5
391.15	2281.25
391.1	2218.75
391.05	2152.5
391.0	2200.0
390.95	2102.5
390.9	2152.5
390.85	2153.75
390.8	2145.0
390.75	2182.5
390.7	2252.5
390.65	2267.5
390.6	2096.25
390.55	2038.75
390.5	2257.5
390.45	2205.0
390.4	2111.25
390.35	2075.0
390.3	2155.0
390.25	2092.5
390.2	2115.0
390.15	2093.75
390.1	2081.25
390.05	2146.25
390.0	2062.5
