BE/eV	PE: 46.95 eV
240.0	1252.5
239.95	1230.0
239.9	1196.25
239.85	1256.25
239.8	1267.5
239.75	1193.75
239.7	1225.0
239.65	1251.25
239.6	1245.0
239.55	1233.75
239.5	1170.0
239.45	1205.0
239.4	1228.75
239.35	1270.0
239.3	1240.0
239.25	1283.75
239.2	1198.75
239.15	1263.75
239.1	1210.0
239.05	1187.5
239.0	1183.75
238.95	1212.5
238.9	1201.25
238.85	1261.25
238.8	1241.25
238.75	1233.75
238.7	1257.5
238.65	1228.75
238.6	1240.0
238.55	1193.75
238.5	1252.5
238.45	1188.75
238.4	1332.5
238.35	1231.25
238.3	1191.25
238.25	1203.75
238.2	1220.0
238.15	1227.5
238.1	1255.0
238.05	1162.5
238.0	1275.0
237.95	1168.75
237.9	1227.5
237.85	1250.0
237.8	1223.75
237.75	1210.0
237.7	1228.75
237.65	1235.0
237.6	1178.75
237.55	1236.25
237.5	1213.75
237.45	1171.25
237.4	1225.0
237.35	1230.0
237.3	1193.75
237.25	1266.25
237.2	1268.75
237.15	1200.0
237.1	1140.0
237.05	1243.75
237.0	1255.0
236.95	1231.25
236.9	1321.25
236.85	1245.0
236.8	1273.75
236.75	1308.75
236.7	1281.25
236.65	1205.0
236.6	1281.25
236.55	1298.75
236.5	1235.0
236.45	1225.0
236.4	1218.75
236.35	1262.5
236.3	1266.25
236.25	1382.5
236.2	1315.0
236.15	1266.25
236.1	1358.75
236.05	1306.25
236.0	1417.5
235.95	1308.75
235.9	1311.25
235.85	1276.25
235.8	1320.0
235.75	1338.75
235.7	1376.25
235.65	1381.25
235.6	1380.0
235.55	1290.0
235.5	1358.75
235.45	1352.5
235.4	1378.75
235.35	1402.5
235.3	1346.25
235.25	1340.0
235.2	1370.0
235.15	1440.0
235.1	1455.0
235.05	1361.25
235.0	1438.75
234.95	1430.0
234.9	1376.25
234.85	1481.25
234.8	1505.0
234.75	1432.5
234.7	1460.0
234.65	1463.75
234.6	1520.0
234.55	1480.0
234.5	1453.75
234.45	1513.75
234.4	1438.75
234.35	1501.25
234.3	1540.0
234.25	1443.75
234.2	1536.25
234.15	1488.75
234.1	1520.0
234.05	1540.0
234.0	1561.25
233.95	1538.75
233.9	1586.25
233.85	1625.0
233.8	1596.25
233.75	1595.0
233.7	1715.0
233.65	1603.75
233.6	1667.5
233.55	1676.25
233.5	1728.75
233.45	1748.75
233.4	1711.25
233.35	1715.0
233.3	1852.5
233.25	1773.75
233.2	1880.0
233.15	1845.0
233.1	1857.5
233.05	1896.25
233.0	1940.0
232.95	1951.25
232.9	2116.25
232.85	2033.75
232.8	2091.25
232.75	2070.0
232.7	2191.25
232.65	2263.75
232.6	2361.25
232.55	2302.5
232.5	2311.25
232.45	2351.25
232.4	2425.0
232.35	2528.75
232.3	2543.75
232.25	2730.0
232.2	2741.25
232.15	2817.5
232.1	2911.25
232.05	2968.75
232.0	3012.5
231.95	3058.75
231.9	3183.75
231.85	3202.5
231.8	3275.0
231.75	3461.25
231.7	3521.25
231.65	3388.75
231.6	3342.5
231.55	3301.25
231.5	3315.0
231.45	3325.0
231.4	3400.0
231.35	3308.75
231.3	3185.0
231.25	3121.25
231.2	3153.75
231.15	3072.5
231.1	2911.25
231.05	2986.25
231.0	2818.75
230.95	2765.0
230.9	2927.5
230.85	2717.5
230.8	2746.25
230.75	2627.5
230.7	2688.75
230.65	2576.25
230.6	2598.75
230.55	2581.25
230.5	2462.5
230.45	2501.25
230.4	2377.5
230.35	2380.0
230.3	2363.75
230.25	2307.5
230.2	2385.0
230.15	2282.5
230.1	2356.25
230.05	2380.0
230.0	2232.5
229.95	2232.5
229.9	2231.25
229.85	2216.25
229.8	2212.5
229.75	2203.75
229.7	2151.25
229.65	2185.0
229.6	2293.75
229.55	2160.0
229.5	2198.75
229.45	2393.75
229.4	2325.0
229.35	2421.25
229.3	2463.75
229.25	2628.75
229.2	2636.25
229.15	2747.5
229.1	2912.5
229.05	2823.75
229.0	3061.25
228.95	3102.5
228.9	3337.5
228.85	3405.0
228.8	3682.5
228.75	3751.25
228.7	3913.75
228.65	3911.25
228.6	4040.0
228.55	4027.5
228.5	4155.0
228.45	4206.25
228.4	4195.0
228.35	4101.25
228.3	4072.5
228.25	3986.25
228.2	3948.75
228.15	3688.75
228.1	3573.75
228.05	3405.0
228.0	3497.5
227.95	3321.25
227.9	3170.0
227.85	3102.5
227.8	2920.0
227.75	2848.75
227.7	2766.25
227.65	2721.25
227.6	2631.25
227.55	2663.75
227.5	2583.75
227.45	2548.75
227.4	2497.5
227.35	2427.5
227.3	2402.5
227.25	2400.0
227.2	2393.75
227.15	2248.75
227.1	2221.25
227.05	2120.0
227.0	2097.5
226.95	1983.75
226.9	1948.75
226.85	1771.25
226.8	1681.25
226.75	1706.25
226.7	1698.75
226.65	1596.25
226.6	1573.75
226.55	1527.5
226.5	1496.25
226.45	1475.0
226.4	1388.75
226.35	1373.75
226.3	1416.25
226.25	1360.0
226.2	1491.25
226.15	1380.0
226.1	1366.25
226.05	1431.25
226.0	1323.75
225.95	1367.5
225.9	1476.25
225.85	1420.0
225.8	1422.5
225.75	1506.25
225.7	1392.5
225.65	1428.75
225.6	1382.5
225.55	1448.75
225.5	1450.0
225.45	1427.5
225.4	1428.75
225.35	1453.75
225.3	1346.25
225.25	1407.5
225.2	1322.5
225.15	1331.25
225.1	1385.0
225.05	1392.5
225.0	1335.0
224.95	1283.75
224.9	1331.25
224.85	1215.0
224.8	1223.75
224.75	1247.5
224.7	1181.25
224.65	1196.25
224.6	1170.0
224.55	1158.75
224.5	1062.5
224.45	1110.0
224.4	1033.75
224.35	1131.25
224.3	1022.5
224.25	1003.75
224.2	1087.5
224.15	1035.0
224.1	991.25
224.05	987.5
224.0	877.5
223.95	911.25
223.9	922.5
223.85	847.5
223.8	856.25
223.75	811.25
223.7	767.5
223.65	812.5
223.6	791.25
223.55	833.75
223.5	823.75
223.45	723.75
223.4	735.0
223.35	740.0
223.3	681.25
223.25	738.75
223.2	723.75
223.15	785.0
223.1	666.25
223.05	641.25
223.0	687.5
222.95	620.0
222.9	692.5
222.85	615.0
222.8	638.75
222.75	645.0
222.7	611.25
222.65	593.75
222.6	588.75
222.55	587.5
222.5	616.25
222.45	637.5
222.4	611.25
222.35	612.5
222.3	565.0
222.25	572.5
222.2	545.0
222.15	578.75
222.1	600.0
222.05	565.0
222.0	561.25
221.95	620.0
221.9	511.25
221.85	547.5
221.8	576.25
221.75	562.5
221.7	535.0
