symbol,period,group_id,series_id,alka,aes,atomic_number,cpk_color,jmol_color,series_name,series_color
H,1,1.0,1,"{'trans': ['1s'], 'be': [13.6], 'rsf': [0.0002]}","{'trans': [], 'ke': [], 'rsf': []}",1,#ffffff,#ffffff,Nonmetals,#baa2a6
He,1,18.0,2,"{'trans': ['1s'], 'be': [24.6], 'rsf': [0.0082]}","{'trans': [], 'ke': [], 'rsf': []}",2,#ffc0cb,#d9ffff,Noble gases,#bbbb88
Li,2,1.0,3,"{'trans': ['1s'], 'be': [54.7], 'rsf': [0.0568]}","{'trans': ['KLL'], 'ke': [43], 'rsf': [0.977]}",3,#b22222,#cc80ff,Alkali metals,#a6cee3
Be,2,2.0,4,"{'trans': ['1s'], 'be': [111.5], 'rsf': [0.1947]}","{'trans': ['KLL'], 'ke': [104], 'rsf': [0.456]}",4,#ff1493,#c2ff00,Alkaline earth metals,#1f78b4
B,2,13.0,5,"{'trans': ['1s'], 'be': [188], 'rsf': [0.486]}","{'trans': ['KLL'], 'ke': [179], 'rsf': [0.289]}",5,#00ff00,#ffb5b5,Metalloids,#33a02c
C,2,14.0,1,"{'trans': ['1s'], 'be': [284.2], 'rsf': [1]}","{'trans': ['KLL'], 'ke': [272], 'rsf': [0.209]}",6,#c8c8c8,#909090,Nonmetals,#baa2a6
N,2,15.0,1,"{'trans': ['1s', '2s'], 'be': [409.9, 37.3], 'rsf': [1.8, 0.0867]}","{'trans': ['KLL'], 'ke': [379], 'rsf': [0.159]}",7,#8f8fff,#3050f8,Nonmetals,#baa2a6
O,2,16.0,1,"{'trans': ['1s', '2s'], 'be': [543.1, 41.6], 'rsf': [2.93, 0.1405]}","{'trans': ['KLL'], 'ke': [503], 'rsf': [0.129]}",8,#f00000,#ff0d0d,Nonmetals,#baa2a6
F,2,17.0,6,"{'trans': ['1s'], 'be': [696.7], 'rsf': [4.43]}","{'trans': ['KLL'], 'ke': [647], 'rsf': [0.105]}",9,#daa520,#90e050,Halogens,#fdbf6f
Ne,2,18.0,2,"{'trans': ['1s', '2s', '2p1/2', '2p3/2'], 'be': [870.2, 48.5, 21.7, 21.6], 'rsf': [6.3, 0.296, 0.0347, 0.0683]}","{'trans': ['KLL'], 'ke': [805], 'rsf': [0.0846]}",10,#ff1493,#b3e3f5,Noble gases,#bbbb88
Na,3,1.0,3,"{'trans': ['1s', '2s', '2p1/2', '2p3/2'], 'be': [1070.8, 63.5, 30.65, 30.81], 'rsf': [8.52, 0.422, 0.0654, 0.1287]}","{'trans': ['KLL'], 'ke': [990], 'rsf': [0.0714]}",11,#0000ff,#ab5cf2,Alkali metals,#a6cee3
Mg,3,2.0,4,"{'trans': ['1s', '2s', '2p1/2', '2p3/2'], 'be': [1303, 88.7, 49.78, 49.5], 'rsf': [11.18, 0.575, 0.1125, 0.221]}","{'trans': ['KLL', 'LMM'], 'ke': [1186, 45], 'rsf': [0.0593, 3.43]}",12,#228b22,#8aff00,Alkaline earth metals,#1f78b4
Al,3,13.0,7,"{'trans': ['1s', '2s', '2p1/2', '2p3/2'], 'be': [1559.6, 117.8, 72.95, 72.55], 'rsf': [0.0001, 0.753, 0.1811, 0.356]}","{'trans': ['KLL', 'LMM'], 'ke': [1396, 68], 'rsf': [0.0497, 2.44]}",13,#808090,#bfa6a6,Poor metals,#b2df8a
